No,歌人,歌人（ひらがな）,上の句,下の句,現代語訳,上の句（ひらがな）,下の句（ひらがな）,男性,女性,上皇,僧,春,夏,秋,冬,恋,別れ,旅,上の句決まり字,上の句決まり字数,下の句決まり字,下の句決まり字数,URL
1,天智天皇,てんじてんのう,秋の田のかりほの庵の苫をあらみ,わが衣手は露にぬれつつ,寒いな。まったく、この仮小屋の屋根、苫の編み目が粗くて、夜露が染みてくる。袖がすっかり濡れてしまった。これが、大切な稲を守るために夜通し頑張っている農民たちの苦労か。これだけ大変な思いをしながら、冷たい露に袖を濡らしているのだな。,あきのたのかりほのいほのとまをあらみ,わがころもではつゆにぬれつつ,1,0,0,0,0,0,1,0,0,0,0,あきの,3,わがころもでは,7,https://hyakuninisshu.sakura.ne.jp/1.html
2,持統天皇,じとうてんのう,春過ぎて夏来にけらし白妙の,衣干すてふ天の香具山,春はあっという間に過ぎて、夏が来たみたい。あの天の香具山に、真っ白な衣が干してある。昔から、夏になるとあの山で衣を干すのよね。新しい都である藤原京から毎日この山を眺めているけれど、こうやって衣が干されているのを見ると、清々しい。また、新しい季節が始まるのね。,はるすぎてなつきにけらししろたへの,ころもほすてふあまのかぐやま,0,1,0,0,0,1,0,0,0,0,0,はるす,3,ころもほ,4,https://hyakuninisshu.sakura.ne.jp/2.html
3,柿本人麻呂,かきのもとのひとまろ,あしびきの山鳥の尾のしだり尾の,ながながし夜をひとりかも寝む,夜が、長い。本当に長くてつらい。谷を挟んで寝るという山鳥の垂れ下がった尾みたいに、長くて長くて、このまま夜が続くのではないか…。あなたが来てくれないこの夜を、ひとりで耐えなきゃいけない。寂しくてたまらない。いつになったら、夜は明けるの？,あしびきのやまどりのをのしだりをの,ながながしよをひとりかもねむ,1,0,0,0,0,0,0,0,1,0,0,あし,2,なかな,3,https://hyakuninisshu.sakura.ne.jp/3.html
4,山部赤人,やまべのあかひと,田子の浦にうち出でてみれば白妙の,富士の高嶺に雪は降りつつ,田子の浦の海岸を通って、はるか遠くを見上げたら…ああ、あれは！やっぱり富士山だ！なんて雄大で、美しいんだ。あの高い峰には、真っ白な雪が降り積もっているんだな。奈良ではなかなか見られない、壮大な景色。旅に出て、こんな景色に出会えるなんて…,たごのうらにうちいでてみればしろたへの,ふじのたかねにゆきはふりつつ,1,0,0,0,0,0,0,1,0,0,0,たご,2,ふし,2,https://hyakuninisshu.sakura.ne.jp/4.html
5,猿丸大夫,さるまるだいふ,奥山に紅葉踏み分け鳴く鹿の,声聞く時ぞ秋は悲しき,紅葉の葉が散り敷かれている奥山の中を歩いていたら、「ヒィ…」って鹿の鳴き声が聞こえてきた。その声が、すごく寂しそうなんだ。迷ってしまったのか。物悲しい秋。この鹿の声を聞くと、胸が締め付けられるよ。鹿さん、あなたの声は、届いているのかしら。,おくやまにもみぢふみわけなくしかの,こゑきくときぞあきはかなしき,1,0,0,0,0,0,1,0,0,0,0,おく,2,こゑ,2,https://hyakuninisshu.sakura.ne.jp/5.html
6,中納言家持,ちゅうなごんやかもち,かささぎの渡せる橋に置く霜の,白きを見れば夜ぞ更けにける,宮中の階段に降りたこの真っ白な霜…。七夕の夜にかささぎが羽を並べて、天の川に橋をかけたみたい。こんなにも一面が白くなっているなんて。ずいぶんと夜が更けたってことか。,かささぎのわたせるはしにおくしもの,しろきをみればよぞふけにける,1,0,0,0,0,0,0,1,0,0,0,かさ,2,しろ,2,https://hyakuninisshu.sakura.ne.jp/6.html
7,安倍仲麻呂,あべのなかまろ,天の原ふりさけみれば春日なる,三笠の山に出でし月かも,空を見上げると、月が見える。唐に来て、随分経った。故郷の奈良、春日の三笠山で見ていた、あの月かな。唐にいても、同じ月を見上げているのかも。,あまのはらふりさけみればかすがなる,みかさのやまにいでしつきかも,1,0,0,0,0,0,0,0,0,0,1,あまの,3,みか,2,https://hyakuninisshu.sakura.ne.jp/7.html
8,喜撰法師,きせんほうし,わが庵は都の辰巳しかぞ住む,世をうぢ山と人はいふなり,私が住む、都の東南のあたり。ここは静かで、毎日穏やかに暮らしている。世間では、宇治山とかけて、「憂し山に隠れて世を悲しんでるんだって？」と、上手いこと言ったつもりで、噂しているようだけど、そんなことない。ただ、心のままに、ゆったり過ごしてるだけなんだな。,わがいほはみやこのたつみしかぞすむ,よをうぢやまとひとはいふなり,1,0,0,1,0,0,0,0,0,0,0,わがい,3,よをう,3,https://hyakuninisshu.sakura.ne.jp/8.html
9,小野小町,おののこまち,花の色は移りにけりないたづらに,わが身世にふるながめせしまに,桜の花の色が、すっかり色あせてしまったわ…。絶世の美女と言われた私自身も、なんだかこの花みたい。長雨のように、あなたへの恋の物思いばかりを、むなしく続けている。時が経つのって、早い。私の美しさも、この花と一緒で、いつまでも続かないのね。,はなのいろはうつりにけりないたづらに,わがみよにふるながめせしまに,0,1,0,0,1,0,0,0,0,0,0,はなの,3,わかみよ,4,https://hyakuninisshu.sakura.ne.jp/9.html
10,蝉丸,せみまる,これやこの行くも帰るも別れては,知るも知らぬも逢坂の関,ここが、あの有名な「逢坂の関」。都から東へ旅立つ人も、見送って都へ戻る人も、みなこの場所を通る。知ってる顔もいるけど、ほとんどは二度と会わない他人だ。みんなここで別れて、そしてまたここで「逢う」。ここは、そういう所なんだな。,これやこのゆくもかへるもわかれては,しるもしらぬもあふさかのせき,1,0,0,1,0,0,0,0,0,0,0,これ,2,しる,2,https://hyakuninisshu.sakura.ne.jp/10.html
